ZIP Code,School ID,Safety Score,Environment Score,Instruction Score,Rate of Misconducts (per 100 students) ,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,College Enrollment (number of students) ,General Services Route ,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Ward,Police District
60624,610122.7777777778,42.9375,57.1875,61.0625,27.688888888888886,16.54285714285714,12.07142857142857,0.47857142857142865,-0.2071428571428571,427.05555555555554,35.5,150000000000000.0,1150413.7303888889,1899513.1542777775,41.88016563888889,-87.72316087833333,25.77777777777778,26.77777777777778,11.0
60625,609961.4285714285,65.23076923076923,52.69230769230769,52.53846153846154,8.27857142857143,29.640000000000004,25.470000000000002,0.09000000000000001,0.26,923.6428571428571,31.0,150000000000000.0,1154827.2005714285,1932856.0007857138,41.97157346714285,-87.70605943428572,10.928571428571429,40.07142857142857,17.785714285714285
60626,609959.1666666666,43.0,43.25,36.75,15.766666666666666,16.06,9.559999999999999,-0.15000000000000002,-0.42499999999999993,678.0,32.0,150000000000000.0,1164057.934,1947041.9858333336,42.01031045333333,-87.67171430499998,1.0,46.0,24.0
60627,609760.0,53.0,37.0,34.0,8.9,,,,,532.0,48.0,150000000000000.0,1187202.39,1818214.083,41.65627709,-87.5906566,54.0,9.0,5.0
60628,610006.8333333334,35.19047619047619,41.476190476190474,47.714285714285715,29.504166666666674,17.195238095238096,12.29047619047619,0.145,-0.3,435.875,48.125,150000000000000.0,1178178.4597083332,1832053.0947916664,41.694461329166664,-87.62325753875,52.208333333333336,19.708333333333332,8.541666666666666
60629,610061.2352941176,41.53333333333333,39.53333333333333,42.06666666666667,15.36470588235294,13.271428571428572,9.471428571428572,-0.6428571428571429,-0.14285714285714285,1114.2941176470588,43.705882352941174,150000000000000.0,1154380.2456470588,1863257.312352941,41.78059597470588,-87.70956281882353,64.3529411764706,14.529411764705882,8.0
60630,609989.0,66.0,49.75,48.75,11.325,34.125,26.75,0.22499999999999998,0.175,836.5,30.5,150000000000000.0,1140478.0625,1933189.7917499999,41.972765655,-87.75881549500001,12.75,43.5,16.25
60631,610087.0,79.4,50.6,45.2,5.533333333333334,48.82,38.4,-0.96,-0.34,884.8333333333334,30.0,150000000000000.0,1128010.9666666666,1941850.68,41.99675255666667,-87.804465105,9.666666666666666,41.0,16.0
60632,610092.6875,51.2,47.0,50.8,11.8875,17.984615384615385,11.938461538461537,0.05384615384615384,0.5384615384615385,1244.0,40.9375,150000000000000.0,1156488.496,1873669.4498750004,41.80912663875,-87.70155285749999,59.75,13.5,8.625
60633,609900.0,50.0,40.5,47.0,4.25,19.55,15.0,-0.7000000000000001,-0.85,481.5,47.0,150000000000000.0,1198589.5935,1819128.0474999999,41.658508245,-87.54896017,55.0,10.0,4.0
60634,610083.4166666666,60.166666666666664,46.5,44.666666666666664,8.566666666666666,31.970000000000006,24.349999999999998,-2.2204460492503132e-17,0.42000000000000004,991.9166666666666,29.916666666666668,150000000000000.0,1132763.7158333333,1922141.4701666667,41.94258570083334,-87.78744261000001,17.25,35.916666666666664,19.0
