,Unit#,SchoolID,School Name,2011,2012,2013,2014
132,1720,400008.0,ACT CHTR HS,27.7,30.7,21.7,36.5
133,1900,610475.0,ARTS OF LIVING,,33.37380952380952,29.399224806201552,26.19928571428571
134,1220,609696.0,AUSTIN COMM ACAD,,33.37380952380952,29.399224806201552,26.19928571428571
135,1020,610370.0,BEST PRACTICE HS,24.2,29.4,20.4,26.19928571428571
136,7730,610337.0,BIG PICTURE COMPANY HS,,33.37380952380952,29.399224806201552,26.19928571428571
137,7280,610301.0,BIG PICTURE HS,,33.37380952380952,29.399224806201552,26.19928571428571
138,1240,609699.0,BOWEN H S,,33.37380952380952,29.399224806201552,26.19928571428571
139,7340,610307.0,BOWEN HS,40.5,37.3,29.2,35.1
140,1250,609701.0,CALUMET ACAD H S,,33.37380952380952,29.399224806201552,26.19928571428571
141,7360,610309.0,CHGO DISCOVERY HS,34.4,27.7,24.3,28.0
142,7670,609675.0,CHICAGO AA HS,60.9,66.7,72.7,50.8
143,21600,566201.8571428572,CHICAGO PREP CHRT HS,,33.37380952380952,29.399224806201552,26.19928571428571
144,7980,610401.0,CLEMENTE AA HS,68.1,76.5,82.9,65.3
145,1880,609763.0,COLLINS HS,,33.37380952380952,29.399224806201552,26.19928571428571
146,7660,610378.0,CRANE AA,65.0,66.9,62.8,68.8
147,21020,566201.8571428572,CREGIER VOC HIGH,,33.37380952380952,29.399224806201552,26.19928571428571
148,1980,610488.0,DORSEY PREP CTR,,33.37380952380952,29.399224806201552,26.19928571428571
149,1280,609703.0,DUSABLE H S,,33.37380952380952,29.399224806201552,26.19928571428571
150,1680,609742.0,ENGLEWOOD ACAD H S,,33.37380952380952,29.399224806201552,26.19928571428571
151,7380,610311.0,ENTREPRENEURSHP HS,51.4,52.1,42.4,31.1
152,7290,610302.0,EXCEL - ORR HS,44.6,39.8,29.399224806201552,26.19928571428571
153,7970,609706.0,FENGER AA HS,74.8,74.2,67.9,59.0
154,1040,610479.0,FLOWER,,33.37380952380952,29.399224806201552,26.19928571428571
155,1260,610480.0,FUTURE COM PROF,,33.37380952380952,29.399224806201552,26.19928571428571
156,1370,610481.0,FUTURE COMM TECH,,33.37380952380952,29.399224806201552,26.19928571428571
157,7550,610324.0,GLOBAL VISIONS HS,48.5,41.8,41.1,21.2
158,27370,566201.8571428572,HANCOCK,,33.37380952380952,29.399224806201552,26.19928571428571
159,1100,610482.0,HARVEY APC,,33.37380952380952,29.399224806201552,26.19928571428571
160,1290,610483.0,HAYES APC,,33.37380952380952,29.399224806201552,26.19928571428571
161,1660,610484.0,HERNANDEZ APC,,33.37380952380952,29.399224806201552,26.19928571428571
162,1130,566201.8571428572,INDUSTRIAL SKILL CTR,,33.37380952380952,29.399224806201552,26.19928571428571
163,7640,610463.0,JULIAN ACHIEVE ACA,,33.37380952380952,29.399224806201552,26.19928571428571
164,1910,609765.0,LAS CASAS HS,83.3,81.5,85.7,56.3
165,1122,610438.0,LINCOLN LLENGE,,33.37380952380952,29.399224806201552,26.19928571428571
166,1450,609721.0,LINDBLOM CPHS,,33.37380952380952,29.399224806201552,26.19928571428571
167,8025,610535.0,MASON HS,,33.37380952380952,29.399224806201552,18.2
168,7530,610322.0,MOSE VINES ACADEMY,48.6,61.8,29.399224806201552,26.19928571428571
169,1050,610469.0,NEAR NO CAREER H S,,33.37380952380952,29.399224806201552,26.19928571428571
170,1180,610453.0,OLIVE SCHOOL,,33.37380952380952,29.399224806201552,26.19928571428571
171,1170,610486.0,PARTEE APC,,33.37380952380952,29.399224806201552,26.19928571428571
172,7960,609743.0,PHILLIPS AA HS,74.8,70.9,72.3,70.2
173,1990,610454.0,PROCTOR APC,,33.37380952380952,29.399224806201552,26.19928571428571
174,1124,610443.0,RENAISSANCE ACAD,,33.37380952380952,29.399224806201552,26.19928571428571
175,7570,610374.0,ROBESON AA HS,69.7,82.1,74.2,70.1
176,1080,610457.0,RODREGUEZ APC,,33.37380952380952,29.399224806201552,26.19928571428571
177,7220,610296.0,SCHOOL OF TECH HS,45.9,44.4,41.6,32.9
178,7370,610310.0,SCHOOL OF THE ARTS HS,37.1,48.4,32.1,22.1
179,5641,610387.0,SECOND CHANCE ALT,,33.37380952380952,29.399224806201552,26.19928571428571
180,1190,610458.0,SENGSTACKE APC,,33.37380952380952,29.399224806201552,26.19928571428571
181,7650,610377.0,SENN AA HS,77.0,77.1,67.4,75.0
182,1550,566201.8571428572,SO SHORE COMM ACAD HS,,33.37380952380952,29.399224806201552,26.19928571428571
183,1650,610459.0,SPALDING HS,,33.37380952380952,29.399224806201552,26.19928571428571
184,1970,610461.0,TESLA,,33.37380952380952,29.399224806201552,26.19928571428571
185,7580,610375.0,TILDEN AA HS,69.8,76.2,71.3,60.8
186,21940,566201.8571428572,URBAN YOUTH HIGH,,33.37380952380952,29.399224806201552,26.19928571428571
187,7590,610376.0,WESTINGHOUSE ACH A,,33.37380952380952,29.399224806201552,26.19928571428571
